"gene_id","OLD_LEAF-YOUNG_LEAF","INFECTED-UNINFECTED","I:Tissue_OLD_LEAF-Treatment_INFECTED"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-221.7-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-222.11-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-223.11-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-223.16-MRNA-1","Up","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-224.10-MRNA-1","None","None","Up"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-224.11-MRNA-1","Down","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-224.4-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-225.13-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-225.16-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-225.17-MRNA-1","Up","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-226.13-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-226.7-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-227.1-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-227.2-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-227.7-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-229.4-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-229.6-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-229.7-MRNA-1","Up","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-231.8-MRNA-1","Down","None","Down"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-232.11-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-232.5-MRNA-1","None","None","Down"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-232.9-MRNA-1","Down","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-233.9-MRNA-1","Down","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-235.8-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-236.2-MRNA-1","None","None","Up"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-237.6-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-238.10-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-238.13-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-238.2-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-238.3-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-238.5-MRNA-1","Up","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-239.11-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-239.14-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-239.3-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-24.0-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-240.12-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-242.10-MRNA-1","Down","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-242.12-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-242.6-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-243.13-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-243.14-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-243.3-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-244.1-MRNA-1","Down","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-245.16-MRNA-1","Up","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-245.9-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-246.0-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-246.20-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-246.5-MRNA-1","Down","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-247.13-MRNA-1","None","None","Down"
